scenario_id,profile_id,attachment_size_kb,repeat,turn,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed
grow-t20,grow,20,1,6,6,a102ed22-3982-447a-969b-c1f56f5c283b,20288,20099,12,0,0,28441,319,0.004458,15155,none,default,1,1,1
grow-t20,grow,20,1,7,7,a102ed22-3982-447a-969b-c1f56f5c283b,20250,20099,12,0,718,32913,291,0.005112,20042,none,default,1,1,1
grow-t20,grow,20,1,8,8,a102ed22-3982-447a-969b-c1f56f5c283b,20247,20099,12,0,820,33086,306,0.005147,16477,none,default,1,1,1
grow-t20,grow,20,1,9,9,a102ed22-3982-447a-969b-c1f56f5c283b,20250,20099,12,0,969,32952,302,0.005124,13819,none,default,1,1,1
grow-t20,grow,20,1,10,10,a102ed22-3982-447a-969b-c1f56f5c283b,20264,20099,12,0,1169,33074,303,0.005143,14727,none,executive,1,1,1
grow-t20,grow,20,1,11,11,a102ed22-3982-447a-969b-c1f56f5c283b,20245,20099,12,0,1411,33099,280,0.005133,12695,none,executive,1,1,1
grow-t20,grow,20,1,12,12,a102ed22-3982-447a-969b-c1f56f5c283b,20248,20099,12,0,1539,33022,301,0.005134,13692,none,default,1,1,1
grow-t20,grow,20,1,13,13,a102ed22-3982-447a-969b-c1f56f5c283b,20262,20099,12,0,1528,33036,298,0.005134,13983,none,default,1,1,1
grow-t20,grow,20,1,14,14,a102ed22-3982-447a-969b-c1f56f5c283b,20259,20099,12,0,1761,33036,286,0.005127,5724,none,default,1,1,1
grow-t20,grow,20,1,15,15,a102ed22-3982-447a-969b-c1f56f5c283b,20229,20099,12,0,1787,33050,301,0.005138,19808,none,default,1,1,1
grow-t20,grow,20,1,16,16,a102ed22-3982-447a-969b-c1f56f5c283b,20219,20099,12,2,1787,33053,302,0.005139,15584,none,default,1,1,1
grow-t20,grow,20,1,17,17,a102ed22-3982-447a-969b-c1f56f5c283b,20226,20099,12,2,2109,37446,270,0.005779,20115,none,default,1,1,1
grow-t20,grow,20,1,18,18,a102ed22-3982-447a-969b-c1f56f5c283b,20246,20099,12,2,2058,37482,286,0.005794,11590,none,default,1,1,1
grow-t20,grow,20,1,19,19,a102ed22-3982-447a-969b-c1f56f5c283b,20245,20099,12,2,2207,37531,286,0.005801,9911,none,default,1,1,1
grow-t20,grow,20,1,20,20,a102ed22-3982-447a-969b-c1f56f5c283b,20252,20099,12,2,2385,37489,265,0.005782,11952,none,default,1,1,1
grow-t20,grow,20,2,1,1,8d94649d-8962-4b5b-874a-137048869409,20312,20099,2,0,0,6225,295,0.001111,14038,none,default,1,1,0
grow-t20,grow,20,2,2,2,8d94649d-8962-4b5b-874a-137048869409,20272,20099,4,0,0,10655,293,0.001774,12791,none,default,1,1,1
grow-t20,grow,20,2,3,3,8d94649d-8962-4b5b-874a-137048869409,20271,20099,6,0,0,15073,296,0.002439,5146,none,default,1,1,1
grow-t20,grow,20,2,4,4,8d94649d-8962-4b5b-874a-137048869409,20289,20099,8,0,0,19508,290,0.0031,8508,none,default,1,1,1
grow-t20,grow,20,2,5,5,8d94649d-8962-4b5b-874a-137048869409,20259,20099,10,0,0,23934,291,0.003765,14221,none,default,1,1,1
grow-t20,grow,20,2,6,6,8d94649d-8962-4b5b-874a-137048869409,20288,20099,12,0,0,28359,295,0.004431,12945,none,default,1,1,1
grow-t20,grow,20,2,7,7,8d94649d-8962-4b5b-874a-137048869409,20250,20099,12,0,659,32790,295,0.005096,16059,none,default,1,1,1
grow-t20,grow,20,2,8,8,8d94649d-8962-4b5b-874a-137048869409,20247,20099,12,0,739,32944,285,0.005113,15590,none,default,1,1,1
grow-t20,grow,20,2,9,9,8d94649d-8962-4b5b-874a-137048869409,20250,20099,12,0,840,32971,300,0.005126,20605,none,default,1,1,1
grow-t20,grow,20,2,10,10,8d94649d-8962-4b5b-874a-137048869409,20264,20099,12,0,976,33151,311,0.005159,9216,none,executive,1,1,1
grow-t20,grow,20,2,11,11,8d94649d-8962-4b5b-874a-137048869409,20245,20099,12,0,1105,33042,300,0.005136,20266,none,executive,1,1,1
grow-t20,grow,20,2,12,12,8d94649d-8962-4b5b-874a-137048869409,20248,20099,12,0,1191,33087,303,0.005145,21943,none,executive,1,1,1
grow-t20,grow,20,2,13,13,8d94649d-8962-4b5b-874a-137048869409,20262,20099,12,0,1310,33136,306,0.005154,21197,none,executive,1,1,1
grow-t20,grow,20,2,14,14,8d94649d-8962-4b5b-874a-137048869409,20259,20099,12,0,1431,33192,303,0.005161,17974,none,executive,1,1,1
grow-t20,grow,20,2,15,15,8d94649d-8962-4b5b-874a-137048869409,20229,20099,12,0,1541,33267,310,0.005176,19265,none,executive,1,1,1
grow-t20,grow,20,2,16,16,8d94649d-8962-4b5b-874a-137048869409,20219,20099,12,2,1541,33325,312,0.005186,16484,none,executive,1,1,1
grow-t20,grow,20,2,17,17,8d94649d-8962-4b5b-874a-137048869409,20226,20099,12,2,1644,37735,298,0.005839,19141,none,executive,1,1,1
grow-t20,grow,20,2,18,18,8d94649d-8962-4b5b-874a-137048869409,20246,20099,12,2,1669,37769,290,0.005839,12476,none,executive,1,1,1
grow-t20,grow,20,2,19,19,8d94649d-8962-4b5b-874a-137048869409,20245,20099,12,2,1803,37790,322,0.005862,11173,none,executive,1,1,1
grow-t20,grow,20,2,20,20,8d94649d-8962-4b5b-874a-137048869409,20252,20099,12,2,1982,37736,302,0.005842,18781,none,executive,1,1,1
grow-t20,grow,20,3,1,1,0bc7db57-718e-4afc-862f-022363dc8875,20312,20099,2,0,0,6225,323,0.001128,4337,none,default,1,1,0
grow-t20,grow,20,3,2,2,0bc7db57-718e-4afc-862f-022363dc8875,20272,20099,4,0,0,10711,331,0.001805,16299,none,default,1,1,1
grow-t20,grow,20,3,3,3,0bc7db57-718e-4afc-862f-022363dc8875,20271,20099,6,0,0,15149,336,0.002474,16472,none,default,1,1,1
grow-t20,grow,20,3,4,4,0bc7db57-718e-4afc-862f-022363dc8875,20289,20099,8,0,0,19646,345,0.003154,15655,none,default,1,1,1
grow-t20,grow,20,3,5,5,0bc7db57-718e-4afc-862f-022363dc8875,20259,20099,10,0,0,24115,340,0.003821,6649,none,default,1,1,1
grow-t20,grow,20,3,6,6,0bc7db57-718e-4afc-862f-022363dc8875,20288,20099,12,0,0,28597,329,0.004487,17412,none,default,1,1,1
grow-t20,grow,20,3,7,7,0bc7db57-718e-4afc-862f-022363dc8875,20250,20099,12,0,797,33067,322,0.005153,16224,none,default,1,1,1
grow-t20,grow,20,3,8,8,0bc7db57-718e-4afc-862f-022363dc8875,20247,20099,12,0,898,33263,326,0.005185,17009,none,default,1,1,1
grow-t20,grow,20,3,9,9,0bc7db57-718e-4afc-862f-022363dc8875,20250,20099,12,0,1031,33185,324,0.005172,16927,none,default,1,1,1
grow-t20,grow,20,3,10,10,0bc7db57-718e-4afc-862f-022363dc8875,20264,20099,12,0,1164,33309,335,0.005197,20211,none,executive,1,1,1
grow-t20,grow,20,3,11,11,0bc7db57-718e-4afc-862f-022363dc8875,20245,20099,12,0,1303,33334,335,0.005201,23235,none,executive,1,1,1
grow-t20,grow,20,3,12,12,0bc7db57-718e-4afc-862f-022363dc8875,20248,20099,12,0,1435,33344,358,0.005216,20385,none,executive,1,1,1
